stat_time_day,campaign_id,average_video_play_per_user,conversion_rate,video_views_p75,cpm,spend,video_views_p100,conversion,impressions,clicks,video_watched_2s,cpc,ctr,average_video_play,total_complete_payment_rate,engaged_view_15s,video_watched_6s,video_views_p50,video_play_actions,video_views_p25,cost_per_conversion,engaged_view,shopping,shopping_sigla,campaign_name,objective_type
2025-10-24 00:00:00,1844352110838818,1.27,0.0,0,2.39,3.03,0,0,1266,0,86,0.0,0.0,1.08,0.0,3,17,0,1250,4,0.0,17,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-24 00:00:00,1844350458030129,1.34,0.0,14,2.35,10.9,9,0,4644,0,316,0.0,0.0,1.12,0.0,18,47,28,4618,64,0.0,51,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-11-01 00:00:00,1847431714944034,1.17,0.0,12,2.02,13.77,9,0,6824,15,707,0.92,0.22,1.15,0.0,28,63,19,6758,47,0.0,70,Nacoes Shopping,NS,Alcance | Giftcard ,REACH
2025-10-25 00:00:00,1810109298355250,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nacoes Shopping,NS,Promo Natura 2024 - Tráfego,TRAFFIC
2025-10-14 00:00:00,1844352110838818,1.63,0.0,9,2.22,17.09,3,0,7700,0,550,0.0,0.0,1.22,0.0,43,125,16,7644,46,0.0,123,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-11-02 00:00:00,1847431562326049,1.38,0.0,10,1.94,8.95,3,0,4602,0,421,0.0,0.0,1.36,0.0,61,162,19,4571,55,0.0,164,Nacoes Shopping,NS,Alcance | Ritmi Mana Spolini,REACH
2025-10-07 00:00:00,1844352110838818,1.61,0.0,9,2.23,19.67,2,0,8826,0,686,0.0,0.0,1.23,0.0,43,117,22,8738,41,0.0,117,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-17 00:00:00,1844352110838818,1.47,0.0,8,2.28,16.62,4,0,7279,0,426,0.0,0.0,1.17,0.0,29,85,17,7229,34,0.0,85,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-27 00:00:00,1844350458030129,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-17 00:00:00,1844350458030129,1.47,0.0,14,2.3,16.97,11,0,7365,0,538,0.0,0.0,1.2,0.0,31,93,31,7313,92,0.0,94,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-07 00:00:00,1844350458030129,1.58,0.0,19,2.23,18.34,13,0,8242,0,713,0.0,0.0,1.29,0.0,26,107,34,8188,101,0.0,105,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-11 00:00:00,1844352110838818,1.56,0.0,6,2.03,17.74,2,0,8739,0,581,0.0,0.0,1.15,0.0,38,118,19,8669,43,0.0,119,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-11-02 00:00:00,1847431181554881,3.64,0.0,120,3.93,12.04,78,0,3063,0,1408,0.0,0.0,3.48,0.0,140,365,173,3047,335,0.0,330,Nacoes Shopping,NS,Visualizações de vídeo | Natal 02 ,VIDEO_VIEWS
2025-10-30 00:00:00,1847431562326049,1.2,0.0,4,2.22,5.38,0,0,2422,0,175,0.0,0.0,1.2,0.0,23,59,10,2409,23,0.0,57,Nacoes Shopping,NS,Alcance | Ritmi Mana Spolini,REACH
2025-10-21 00:00:00,1844352110838818,1.39,0.0,3,2.45,13.47,2,0,5492,0,380,0.0,0.0,1.08,0.0,16,59,8,5454,18,0.0,58,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-31 00:00:00,1847432144410706,1.2,0.0,24,2.34,13.7,9,0,5863,0,455,0.0,0.0,1.16,0.0,43,100,35,5822,72,0.0,99,Nacoes Shopping,NS,Alcance | Chillibeans Vini ,REACH
2025-10-20 00:00:00,1844350458030129,1.41,0.0,16,2.25,14.55,10,0,6475,0,417,0.0,0.0,1.11,0.0,28,70,28,6430,70,0.0,70,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-10 00:00:00,1844350458030129,1.36,0.0,15,2.15,18.2,11,0,8473,0,570,0.0,0.0,1.11,0.0,21,83,30,8424,99,0.0,85,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-30 00:00:00,1847431181554881,4.72,0.0,65,3.76,6.02,42,0,1601,0,821,0.0,0.0,4.28,0.0,68,184,90,1592,173,0.0,168,Nacoes Shopping,NS,Visualizações de vídeo | Natal 02 ,VIDEO_VIEWS
