stat_time_day,video_watched_6s,average_video_play,ctr,average_video_play_per_user,video_views_p50,profile_visits,impressions,engaged_view_15s,conversion_rate,cpc,cpm,likes,shares,video_play_actions,video_views_p25,cost_per_conversion,clicks_on_music_disc,follows,video_watched_2s,engaged_view,total_complete_payment_rate,spend,video_views_p100,comments,video_views_p75,clicks,conversion,shopping,shopping_sigla
2025-12-03 00:00:00,1782,1.99,4.3,2.44,787,21,23820,1259,0.0,0.07,3.2,9,0,21264,1908,0.0,0,1,2474,2381,0.0,76.29,382,1,514,1024,0,Nacoes Shopping,NS
2025-11-28 00:00:00,1462,1.59,2.35,2.59,551,22,30427,915,0.0,0.18,4.14,15,2,29036,1338,0.0,0,2,2831,1871,0.0,125.88,265,0,333,716,0,Nacoes Shopping,NS
2025-11-23 00:00:00,2562,3.17,5.49,4.1,2637,6,16389,2082,0.0,0.07,4.0,6,1,13391,3264,0.0,0,1,3409,3142,0.0,65.58,1543,0,2126,900,0,Nacoes Shopping,NS
2025-11-18 00:00:00,1440,2.51,4.13,3.02,1468,27,15100,1534,0.0,0.12,4.9,9,0,14121,1949,0.0,0,0,2111,1849,0.0,73.93,1167,0,1338,624,0,Nacoes Shopping,NS
2025-12-11 00:00:00,1868,2.3,2.66,3.17,710,155,28815,1190,0.0,0.12,3.28,25,0,23244,1665,0.0,0,4,3693,2347,0.0,94.49,299,0,416,767,0,Nacoes Shopping,NS
2025-12-06 00:00:00,2224,3.85,3.91,2.83,823,186,26033,1410,0.0,0.1,3.74,24,0,11006,1833,0.0,0,12,3236,2819,0.0,97.27,413,3,563,1018,0,Nacoes Shopping,NS
2025-12-01 00:00:00,1905,2.18,4.94,3.72,705,10,19609,1168,0.0,0.07,3.53,2,0,17569,1833,0.0,0,0,2571,2498,0.0,69.13,303,0,406,968,0,Nacoes Shopping,NS
2025-11-26 00:00:00,1723,1.58,2.27,2.6,1401,26,35751,1361,0.0,0.15,3.37,6,0,34188,2174,0.0,0,1,3299,2230,0.0,120.58,819,0,984,811,0,Nacoes Shopping,NS
2025-11-21 00:00:00,1823,2.74,5.52,3.38,1878,11,15006,1672,0.0,0.08,4.38,6,0,12685,2497,0.0,0,1,2634,2353,0.0,65.77,1181,0,1502,829,0,Nacoes Shopping,NS
2025-11-16 00:00:00,2009,3.03,6.28,3.84,2056,19,16845,2234,0.0,0.08,4.8,7,0,14288,2773,0.0,0,1,2877,2776,0.0,80.79,1557,0,1875,1058,0,Nacoes Shopping,NS
2025-12-04 00:00:00,2567,2.99,3.55,3.04,918,159,29208,1540,0.0,0.09,3.12,21,2,17223,2353,0.0,0,9,3679,3189,0.0,91.14,460,0,622,1037,0,Nacoes Shopping,NS
2025-11-29 00:00:00,1161,1.51,2.68,2.58,411,16,33029,806,0.0,0.15,3.89,14,1,31191,1025,0.0,0,2,2578,1598,0.0,128.63,179,6,234,884,0,Nacoes Shopping,NS
2025-12-09 00:00:00,2861,2.6,3.35,3.67,1025,83,30672,1615,0.0,0.09,3.07,38,0,24774,2406,0.0,0,10,4911,3453,0.0,94.18,421,1,639,1027,0,Nacoes Shopping,NS
2025-11-24 00:00:00,1856,3.06,6.56,3.88,1866,8,12954,1909,0.0,0.07,4.81,1,0,11277,2376,0.0,0,0,2481,2431,0.0,62.32,1374,0,1584,850,0,Nacoes Shopping,NS
2025-11-19 00:00:00,1984,3.19,6.11,4.12,1943,28,14499,2198,0.0,0.09,5.33,7,0,13729,2623,0.0,0,1,2720,2649,0.0,77.25,1622,0,1798,886,0,Nacoes Shopping,NS
2025-11-14 00:00:00,2366,3.29,7.87,4.17,2409,15,16957,2619,0.0,0.07,5.33,2,0,14956,3169,0.0,0,0,3378,3206,0.0,90.39,1845,0,2137,1334,0,Nacoes Shopping,NS
2025-12-22 00:00:00,2260,3.48,3.62,2.89,852,144,26926,1511,0.0,0.08,3.04,19,2,12780,1957,0.0,0,7,3313,2940,0.0,81.74,410,0,544,976,0,Nacoes Shopping,NS
2025-12-17 00:00:00,2009,3.6,2.98,2.55,663,240,28140,1204,0.0,0.1,2.97,26,2,10883,1555,0.0,0,5,2955,2495,0.0,83.48,255,2,391,839,0,Nacoes Shopping,NS
2026-01-11 00:00:00,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,Nacoes Shopping,NS
2026-01-06 00:00:00,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,Nacoes Shopping,NS
2026-01-01 00:00:00,4,5.52,7.41,2.52,4,1,54,2,0.0,0.0,0.0,0,0,21,7,0.0,0,0,10,4,0.0,0.0,2,0,2,4,0,Nacoes Shopping,NS
2025-12-27 00:00:00,3182,4.23,4.26,3.5,1153,147,33573,2111,0.0,0.06,2.55,24,0,14568,2878,0.0,0,5,4487,4131,0.0,85.52,549,2,703,1431,0,Nacoes Shopping,NS
2026-01-09 00:00:00,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,Nacoes Shopping,NS
2026-01-04 00:00:00,1,4.76,0.0,5.95,1,0,6,1,0.0,0.0,0.0,0,0,5,1,0.0,0,0,1,1,0.0,0.0,1,0,1,0,0,Nacoes Shopping,NS
