plataforma,campanha,impressoes,custo,video_p25,video_p50,video_p75,video_p100,video_2s,video_6s
Meta Ads,ALC - Semana do Consumidor,688156,999.92,3279.0,692.0,365.0,245.0,,
Meta Ads,ALC - Páscoa,180363,236.99,840.0,295.0,170.0,118.0,,
Meta Ads,ALC - Agenda de março,134096,180.18,,,,,,
Meta Ads,ALC - Crepusculo,257366,349.99,3345.0,2004.0,626.0,398.0,,
Meta Ads,ALC - L’Occitane,50752,71.81,669.0,217.0,73.0,45.0,,
Meta Ads,ACL - Outuno,70994,101.11,476.0,180.0,117.0,47.0,,
Meta Ads,ALC - Camiseta BR Centauro,98332,138.89,9386.0,4041.0,2449.0,1661.0,,
Meta Ads,ALC - Foot Wear,174640,249.95,2935.0,1140.0,397.0,243.0,,
Meta Ads,ALC - Tommy Hilfeger,72606,103.26,3462.0,1163.0,581.0,298.0,,
Meta Ads,ALC - Tour pelo NK,39398,57.95,48.0,25.0,23.0,19.0,,
Meta Ads,ENG - Corrida NK,11102,54.55,92.0,52.0,26.0,18.0,,
Meta Ads,ALC - Filme Super Mário,70164,99.5,489.0,128.0,68.0,41.0,,
Meta Ads,TRAF - FRANQUIAS,50563,222.74,,,,,,
Meta Ads,ENG - FRANQUIAS,997,15.54,,,,,,
Meta Ads,ALC - Evento ELAS,164864,265.06,2365.0,932.0,533.0,212.0,,
Meta Ads,ALC - Kopenhagen,54264,81.38,7875.0,2664.0,1297.0,785.0,,
Meta Ads,ALC - Lelis,5681,8.36,150.0,60.0,38.0,26.0,,
Meta Ads,ALC - Gastronomia — AON,443304,563.15,2290.0,684.0,341.0,227.0,,
Meta Ads,ALC - Legueiros,56692,74.18,351.0,96.0,53.0,41.0,,
Meta Ads,ACL - Outuno,53462,61.92,363.0,121.0,69.0,35.0,,
Meta Ads,ALC - Camiseta BR Centauro,79145,91.88,7260.0,2772.0,1564.0,1019.0,,
Meta Ads,ALC - Tommy Hilfeger,126052,146.67,6404.0,2135.0,1035.0,571.0,,
Meta Ads,ALC - Filme Super Mário,175265,200.46,1173.0,334.0,194.0,113.0,,
Meta Ads,TRAF - FRANQUIAS,268447,977.19,,,,,,
Meta Ads,ALC - Evento ELAS,26986,34.92,348.0,148.0,70.0,30.0,,
Meta Ads,ALC - Kopenhagen,187056,218.61,8908.0,2991.0,1441.0,876.0,,
Meta Ads,ALC - Lelis,93841,111.61,3066.0,1126.0,641.0,450.0,,
Meta Ads,TRAF - CAMPANHA IPHONE,495774,999.94,2362.0,1840.0,1252.0,980.0,,
Meta Ads,ALC - PROMO MAES 26,71804,130.69,928.0,665.0,579.0,215.0,,
Meta Ads,TRAF - PROMO MAES 26,27922,127.79,3807.0,3336.0,3070.0,1635.0,,
Meta Ads,ALC - ANÚNCIOS NR,53275,86.93,646.0,252.0,105.0,59.0,,
Meta Ads,ALC - BFS BS,25854,50.01,90.0,20.0,13.0,7.0,,
Meta Ads,ALC - Diabo veste prada,8657,17.29,284.0,171.0,96.0,37.0,,
Meta Ads,ALC - Gastronomia — AON,124546,178.12,627.0,184.0,82.0,56.0,,
Meta Ads,ALC - PROMO MAES 26,137272,216.77,1027.0,237.0,122.0,65.0,,
Meta Ads,TRAF - PROMO MAES 26,53103,245.92,6512.0,5581.0,5055.0,2841.0,,
Meta Ads,ALC - ANÚNCIOS NR,117173,171.55,2305.0,972.0,391.0,242.0,,
Meta Ads,ALC - BFS BS,496082,707.93,1111.0,225.0,123.0,76.0,,
Meta Ads,ALC - Diabo veste prada,142842,210.35,4944.0,2836.0,1373.0,410.0,,
Meta Ads,ALC - PROMO MAES BS,112631,175.45,1621.0,687.0,226.0,145.0,,
Meta Ads,ALC - TRANSMISSAO BFS,377684,528.96,,,,,,
Meta Ads,ALC - COBASI,6352,10.24,23.0,7.0,2.0,1.0,,
Meta Ads,ALC | Moda Feminina,132624,232.63,1553.0,671.0,253.0,157.0,,
Meta Ads,ALC | Moda masculina,132099,231.87,1837.0,566.0,307.0,203.0,,
Meta Ads,ALC - Lojas - Inauguração/ Gastronomia,130813,231.99,2084.0,728.0,417.0,218.0,,
Meta Ads,ALC - Lojas - Diversão,131044,234.63,,,,,,
Meta Ads,ALC - Inauguração Allmini,138116,250.41,,,,,,
Meta Ads,ALC - Natal Noel Decor,198328,373.15,1216.0,310.0,161.0,101.0,,
Meta Ads,ALC - Feira Pet Out,29098,55.49,,,,,,
Meta Ads,ALC - Torneio de Futebol de Mesa,50876,94.33,,,,,,
Meta Ads,TRAF - PATATIPATATA,3900,23.06,,,,,,
Meta Ads,ALC - NATAL 25,399762,655.76,2337.0,720.0,377.0,255.0,,
Meta Ads,ALC - PATATIPATATA,31312,52.22,,,,,,
Meta Ads,TRAF - NATAL 25,151385,735.08,1023.0,503.0,331.0,144.0,,
Meta Ads,[ALC - Cine Materna],45148,79.99,,,,,,
Meta Ads,ALC - Senhora Farinha,246433,466.66,17103.0,9506.0,3889.0,919.0,,
Meta Ads,ALC - ESQUENTA VOLKSFRIENDS,83714,149.97,,,,,,
Meta Ads,ENG - PET DAY,9744,100.0,289.0,129.0,85.0,63.0,,
Meta Ads,ALC - Cidadania Já,59462,106.68,925.0,350.0,175.0,66.0,,
