hora,plataforma,impressoes,cliques,custo,conversoes,ctr,cpc
18,Google Ads,2885,744,53.057211,571.782097,25.788561525129982,0.0713134556451613
19,Google Ads,2386,611,41.717709,565.996703,25.607711651299248,0.06827775613747954
20,Google Ads,1742,415,25.720299,311.575756,23.823191733639497,0.061976624096385546
21,Google Ads,1267,314,16.664555,213.357157,24.78295185477506,0.05307183121019108
22,Google Ads,1032,259,15.060127,182.743757,25.0968992248062,0.05814720849420849
23,Google Ads,600,166,9.685395,116.703619,27.666666666666668,0.05834575301204819
0,Google Ads,342,83,4.231358,49.335482,24.269005847953213,0.05098021686746988
1,Google Ads,140,37,2.342037,17.666666,26.42857142857143,0.0632982972972973
2,Google Ads,66,12,0.83,8.697222,18.181818181818183,0.06916666666666667
3,Google Ads,58,14,1.031371,7.09091,24.137931034482758,0.07366935714285715
4,Google Ads,57,9,0.557659,7.333334,15.789473684210526,0.061962111111111114
5,Google Ads,103,30,2.802502,18.5,29.126213592233007,0.09341673333333333
6,Google Ads,381,107,7.973706,43.5625,28.083989501312335,0.0745206168224299
7,Google Ads,885,227,15.509654,157.241396,25.649717514124294,0.06832446696035242
8,Google Ads,1345,359,23.003801,271.858532,26.691449814126393,0.06407744011142061
9,Google Ads,1883,442,31.441471,349.50624,23.47318109399894,0.07113454977375566
10,Google Ads,2322,591,43.147197,420.872598,25.452196382428944,0.07300710152284264
11,Google Ads,2585,639,44.761928,451.845455,24.719535783365572,0.070049965571205
12,Google Ads,3155,778,60.900562,518.634674,24.659270998415213,0.07827835732647816
13,Google Ads,2953,721,51.352661,532.637504,24.415848289874702,0.07122421775312067
14,Google Ads,2712,628,45.287209,410.266084,23.156342182890853,0.07211339012738853
15,Google Ads,2824,696,51.090428,509.4518,24.645892351274785,0.07340578735632185
16,Google Ads,2725,654,44.544244,452.466388,24.0,0.06811046483180427
17,Google Ads,2892,727,55.700681,595.277641,25.138312586445366,0.07661716781292985
